participantId,device,datasetId,pauseTime,sortingTime,time,experimentOrder
16,VR,1,184.9094696044922,269.09613037109375,2022-04-27 13:36:32,3
16,VR,2,342.4001770019531,221.31451416015625,2022-04-27 13:49:19,4
13,VR,2,34.628631591796875,304.1309509277344,2022-04-27 14:43:34,1
13,VR,1,162.1418914794922,227.08062744140625,2022-04-27 14:54:16,2
13,Comp,1,370.54779052734375,247.13282775878906,2022-04-27 15:13:53,3
10,VR,1,47.98808288574219,202.3360137939453,2022-04-27 15:47:00,1
10,VR,2,11.739753723144531,178.98171997070312,2022-04-27 15:53:34,2
10,Comp,2,75.48204040527344,107.0498046875,2022-04-27 16:04:09,3
7,VR,1,57.98800277709961,335.296875,2022-04-28 10:48:32,1
7,VR,2,206.25546264648438,174.45835876464844,2022-04-28 10:58:02,2
7,Comp,2,112.46288299560547,154.67884826660156,2022-04-28 11:11:22,3
7,Comp,1,87.04796600341797,341.22509765625,2022-04-28 11:21:32,4
12,VR,1,101.29466247558594,91.1662826538086,2022-04-28 11:56:33,1
12,VR,2,117.6418228149414,165.11215209960938,2022-04-28 12:04:56,2
12,Comp,2,131.09469604492188,169.9921112060547,2022-04-28 12:21:16,3
12,Comp,1,129.84507751464844,134.59742736816406,2022-04-28 12:28:58,4
8,Comp,2,17.699689865112305,250.6003875732422,2022-04-28 14:13:51,1
8,Comp,1,128.59458923339844,215.58770751953125,2022-04-28 14:22:49,2
8,VR,1,79.40636444091797,188.31939697265625,2022-04-28 14:56:40,3
8,VR,2,86.31451416015625,167.2017059326172,2022-04-28 15:04:22,4
3,VR,2,48.89813232421875,256.2717590332031,2022-04-28 18:15:46,1
3,VR,1,81.47441864013672,239.628662109375,2022-04-28 18:24:20,2
3,Comp,1,177.35540771484375,305.63104248046875,2022-04-28 18:38:30,3
3,Comp,2,222.79917907714844,331.4871826171875,2022-04-28 18:50:50,4
11,VR,1,19.21158218383789,123.57698059082031,2022-04-29 09:43:00,3
11,VR,2,6.309080123901367,127.18001556396484,2022-04-29 09:48:29,4
19,VR,1,95.69879913330078,363.77935791015625,2022-04-29 10:54:48,1
19,VR,2,598.315185546875,668.5194702148438,2022-04-29 11:20:30,2
19,Comp,2,47.6493034362793,226.282958984375,2022-04-29 11:32:25,3
19,Comp,1,172.60499572753906,469.7914123535156,2022-04-29 11:46:13,4
18,Comp,2,37.182525634765625,253.37913513183594,2022-04-29 14:14:52,1
18,Comp,1,73.48220825195312,199.21986389160156,2022-04-29 14:22:32,2
18,VR,1,95.15509033203125,288.4909973144531,2022-04-29 14:43:27,3
18,VR,2,150.77207946777344,254.86431884765625,2022-04-29 14:53:31,4
22,VR,2,36.48367691040039,210.80841064453125,2022-04-29 15:34:56,1
22,VR,1,11.094990730285645,147.77842712402344,2022-04-29 15:40:51,2
22,Comp,1,3.599944591522217,186.58941650390625,2022-04-29 15:51:01,3
22,Comp,2,2.1499621868133545,214.1187286376953,2022-04-29 15:57:44,4
2,VR,2,14.771275520324707,146.33839416503906,2022-04-29 17:06:31,1
2,VR,1,14.461515426635742,222.80941772460938,2022-04-29 17:13:40,2
2,Comp,2,3.3332717418670654,103.00021362304688,2022-04-29 17:31:08,4
5,Comp,2,5.716557502746582,204.8711700439453,2022-04-29 17:58:06,1
5,VR,1,8.463335990905762,200.44638061523438,2022-04-29 18:25:23,3
5,VR,2,6.420124530792236,170.47137451171875,2022-04-29 18:31:46,4
1,VR,2,51.83196258544922,341.9176940917969,2022-04-30 11:08:04,1
1,VR,1,171.4748077392578,272.1263732910156,2022-04-30 11:19:11,2
1,Comp,1,136.07763671875,164.4778289794922,2022-04-30 11:31:43,3
1,Comp,2,122.4959487915039,149.52940368652344,2022-04-30 11:39:20,4
9,Comp,1,73.6321792602539,436.1814270019531,2022-04-30 12:00:50,1
9,Comp,2,146.6932373046875,357.3616943359375,2022-04-30 12:12:27,2
9,VR,2,144.130615234375,525.0859375,2022-04-30 12:46:01,3
9,VR,1,86.76563262939453,355.62628173828125,2022-04-30 12:57:02,4
14,Comp,2,3.2499277591705322,72.88544464111328,2022-04-30 13:17:52,2
14,VR,2,1.4560757875442505,146.3818359375,2022-04-30 13:37:03,3
6,Comp,2,107.67932891845703,336.10870361328125,2022-04-30 15:48:06,1
6,Comp,1,80.6814193725586,214.93597412109375,2022-04-30 15:56:43,2
6,VR,2,195.46109008789062,300.9992980957031,2022-04-30 16:31:53,3
6,VR,1,46.4564208984375,179.66452026367188,2022-04-30 16:39:04,4
17,VR,2,29.740915298461914,217.44154357910156,2022-05-02 09:25:47,1
17,VR,1,44.57778549194336,179.52371215820312,2022-05-02 09:32:44,2
11,Comp,2,45.91593551635742,213.11917114257812,2022-04-29 09:20:31,1
17,Comp,1,6.033236980438232,140.43048095703125,2022-05-02 09:43:42,3
14,VR,1,1.389379858970642,170.81153869628906,2022-04-30 13:43:08,4
5,Comp,1,12.616471290588379,128.8485107421875,2022-04-29 18:03:38,2
4,Comp,2,1514.756103515625,332.9734191894531,2022-04-27 17:28:27,2
17,Comp,2,23.782838821411133,77.85194396972656,2022-05-02 09:48:23,4
20,Comp,1,54.61604309082031,165.74435424804688,2022-05-02 10:28:58,1
20,Comp,2,315.6630554199219,183.64219665527344,2022-05-02 10:40:17,2
20,VR,2,133.70391845703125,436.78778076171875,2022-05-02 11:04:23,3
20,VR,1,319.7902526855469,433.7123107910156,2022-05-02 11:20:05,4
21,VR,1,102.40837097167969,234.8043975830078,2022-05-02 11:54:23,1
10,Comp,1,0.0,0.0,2022-04-27 16:14:36,4
21,VR,2,61.9385986328125,153.5532989501953,2022-05-02 12:01:44,2
21,Comp,2,177.1230926513672,282.47491455078125,2022-05-02 12:15:10,3
21,Comp,1,132.89488220214844,197.0245361328125,2022-05-02 12:23:39,4
25,Comp,1,34.849246978759766,233.96861267089844,2022-05-02 15:10:35,1
25,Comp,2,76.94860076904297,195.6067657470703,2022-05-02 15:18:12,2
25,VR,2,112.90270233154297,116.07124328613281,2022-05-02 15:31:31,3
25,VR,1,95.8652114868164,264.06793212890625,2022-05-02 15:40:35,4
24,Comp,2,3.666616201400757,130.8148651123047,2022-05-02 16:51:34,1
24,Comp,1,2.1832988262176514,106.06684112548828,2022-05-02 16:56:49,2
24,VR,1,10.107111930847168,189.7192840576172,2022-05-02 17:20:07,3
24,VR,2,5.2979912757873535,173.2998046875,2022-05-02 17:26:31,4
15,VR,1,61.7606201171875,104.24300384521484,2022-05-02 18:10:06,1
15,VR,2,2.55519700050354,114.94115447998047,2022-05-02 18:15:28,2
15,Comp,2,9.416518211364746,210.85543823242188,2022-05-02 18:29:12,3
15,Comp,1,6.01655912399292,131.94808959960938,2022-05-02 18:34:39,4
16,Comp,1,6.350021839141846,250.44374084472656,2022-04-27 13:11:44,1
16,Comp,2,122.7017822265625,260.2438049316406,2022-04-27 13:22:12,2
13,Comp,2,97.46904754638672,190.4547119140625,2022-04-27 15:27:57,4
