"Timestamp","Merci de vérifier que votre identifiant ci dessous est le bon. Corrigez si besoin.","Êtes-vous daltonien ?","Êtes-vous sujet à des crises de convulsions, des perte de consciences ou tout autre symptôme lié à un état épileptique ou toute autre contre-indication à l'utilisation d'un casque de réalité virtuelle.","Avez-vous déjà utilisé un casque de réalité virtuelle ?","Si oui, quand avez-vous utilisé un casque de réalité virtuelle pour la dernière fois ? Il y a...","Si oui, à combien estimez vous votre temps d'utilisation ?","Quels types d’interactions étaient possible en parallèle de l'utilisation du casque de réalité virtuelle lors de votre utilisation de ce dispositif ?","Si vous avez déjà utilisé un casque VR, qu'avez-vous fait avec ?","Quel impact pensez-vous que l'utilisation d'un casque VR aura sur vos capacités à interpréter des formes 3d, par comparaison à l'utilisation d'un écran d'ordinateur habituel","Quelle est votre expérience avec la biologie","Quelle est votre expérience avec la microscopie ?","À quelle fréquence utilisez-vous un ordinateur ?","Avez-vous déjà utilisé un logiciel de 3D ?","Si oui, combien de temps avez vous passé à utiliser un logiciel de 3D ?","Si oui, quel type de logiciel de 3d avez-vous utilisé ?"
"2022/04/25 9:21:07 AM GMT+2","3","Non","Non","Oui","Moins de 3 ans","Moins d'une heure de toute votre vie","Pas d'interaction hormis le mouvement de la tête","Visionnage de vidéos 3D (évenement sportif, clip musical, court métrage, etc)","3","J'ai étudié la biologie en niveau licence","J'ai occasionnellement utilisé un microscope durant de mon parcours scolaire","Moins de 5h par jour","Oui","Moins de 3h par mois","un logiciel pour visualiser des formes 3d (3d Viewer de Microsoft, Sketchfab, etc);Un logiciel de rendu 3d (blender, 3ds max, Maya, Cinema4d, etc)"
"2022/04/25 9:58:34 AM GMT+2","18","Non","Non","Oui","Moins de 3 ans","Moins d'une heure de toute votre vie","Pas d'interaction hormis le mouvement de la tête","Visionnage de vidéos 3D (évenement sportif, clip musical, court métrage, etc)","2","J'ai étudié la biologie en niveau licence","J'ai occasionnellement utilisé un microscope durant de mon parcours scolaire","Plus de 5h par jour","Oui","Moins de 5h dans votre vie","Un logiciel de CAO (Fusion 360, AutoCAD, FreeCAD, SketchUp, etc)"
"2022/04/25 10:08:49 AM GMT+2","10","Non","Non","Oui","Moins d'un ans","Moins de 5h de toute votre vie","Pas d'interaction hormis le mouvement de la tête","Joué à un jeu vidéo;Visualisation de données (plan architecturaux, imagerie médicale, etc)","2","J'ai étudié la biologie en niveau licence","Je travaille régulièrement avec des données microscopiques","Plus de 5h par jour","Oui","Moins de 5h dans votre vie","Un logiciel de CAO (Fusion 360, AutoCAD, FreeCAD, SketchUp, etc)"
"2022/04/25 11:10:02 AM GMT+2","7","Non","Non","Oui","Moins de 3 ans","Moins d'une heure de toute votre vie","Pas d'interaction hormis le mouvement de la tête","Visionnage de vidéos 3D (évenement sportif, clip musical, court métrage, etc)","4","J'ai étudié la biologie en niveau licence","Je travaille régulièrement avec des données microscopiques","Plus de 5h par jour","Non","",""
"2022/04/25 11:22:32 AM GMT+2","13","Non","Non","Oui","Moins d'un mois","Moins de 3h par mois","Interactions à l'aide d'une manette de jeu vidéo classique;Interactions à l'aide de manette pouvant suivre la position de vos mains","Joué à un jeu vidéo;Visionnage de vidéos 3D (évenement sportif, clip musical, court métrage, etc)","4","J'ai étudié la biologie jusqu'au lycée","J'ai occasionnellement utilisé un microscope durant de mon parcours scolaire","Plus de 5h par jour","Oui","Moins de 5h dans votre vie","un logiciel pour visualiser des formes 3d (3d Viewer de Microsoft, Sketchfab, etc);Un logiciel de rendu 3d (blender, 3ds max, Maya, Cinema4d, etc)"
"2022/04/25 6:14:52 PM GMT+2","4","Non","Non","Oui","Moins de 3 ans","Moins d'une heure de toute votre vie","Interactions à l'aide de manette pouvant suivre la position de vos mains","Joué à un jeu vidéo","4","J'ai étudié la biologie en niveau licence","J'ai occasionnellement utilisé un microscope durant de mon parcours scolaire","Plus de 5h par jour","Oui","Moins de 5h dans votre vie","Un logiciel de CAO (Fusion 360, AutoCAD, FreeCAD, SketchUp, etc)"
"2022/04/25 6:31:33 PM GMT+2","5","Non","Non","Non","","","","","4","J'ai étudié la biologie en niveau licence","J'ai occasionnellement utilisé un microscope durant de mon parcours scolaire","Plus de 5h par jour","Oui","Moins de 5h dans votre vie","Un logiciel de CAO (Fusion 360, AutoCAD, FreeCAD, SketchUp, etc)"
"2022/04/26 11:50:55 AM GMT+2","14","Non","Non","Non","","","","","3","J'ai étudié la biologie en niveau licence","J'ai occasionnellement utilisé un microscope durant de mon parcours scolaire","Moins de 5h par jour","Non","",""
"2022/04/26 7:18:45 PM GMT+2","JF","Non","Non","Oui","Moins d'un ans","Moins de 5h de toute votre vie","Interactions à l'aide de manette pouvant suivre la position de vos mains","Joué à un jeu vidéo","4","J'ai étudié la biologie jusqu'au lycée","J'ai occasionnellement utilisé un microscope durant de mon parcours scolaire","Plus de 5h par jour","Non","",""
"2022/04/27 2:26:30 PM GMT+2","12","Non","Non","Oui","Moins d'un ans","Moins de 5h de toute votre vie","Interactions à l'aide de manette pouvant suivre la position de vos mains","Simulation d'entraînement à fins professionelles (simulateur militaire ou médical, etc)","3","J'ai étudié la biologie jusqu'au lycée","J'ai occasionnellement utilisé un microscope durant de mon parcours scolaire","Plus de 5h par jour","Non","",""
"2022/04/28 12:19:28 PM GMT+2","8","Non","Non","Oui","Moins d'un ans","Moins d'une heure de toute votre vie","","Visionnage de vidéos 3D (évenement sportif, clip musical, court métrage, etc)","4","J'ai étudié la biologie en niveau licence","Je travaille régulièrement avec des données microscopiques","Moins de 5h par jour","Oui","Moins de 5h dans votre vie","Un logiciel de CAO (Fusion 360, AutoCAD, FreeCAD, SketchUp, etc)"
"2022/04/28 2:11:56 PM GMT+2","11","Non","Non","Oui","Moins d'un ans","Moins de 5h de toute votre vie","Interactions à l'aide d'une manette de jeu vidéo classique;Interactions à l'aide de manette pouvant suivre la position de vos mains","Joué à un jeu vidéo","3","Connaissances solides en embryologie et en biologie du développementale (émental)","Je travaille régulièrement avec des données microscopiques","Plus de 5h par jour","Oui","Moins de 10h par ans","Un logiciel de CAO (Fusion 360, AutoCAD, FreeCAD, SketchUp, etc)"
"2022/04/28 4:37:29 PM GMT+2","22","Non","Non","Non","","","","","4","J'ai étudié la biologie en niveau licence","J'ai occasionnellement utilisé un microscope durant de mon parcours scolaire","Plus de 5h par jour","Oui","Moins de 10h par ans","un logiciel pour visualiser des formes 3d (3d Viewer de Microsoft, Sketchfab, etc);Un logiciel de CAO (Fusion 360, AutoCAD, FreeCAD, SketchUp, etc)"
"2022/04/28 5:21:17 PM GMT+2","21","Non","Non","Non","","","","","4","J'ai étudié la biologie en niveau licence","Je travaille régulièrement avec des données microscopiques","Moins de 5h par jour","Oui","Moins de 5h dans votre vie","Un logiciel de CAO (Fusion 360, AutoCAD, FreeCAD, SketchUp, etc)"
"2022/04/28 8:30:43 PM GMT+2","19","Non","Non","Oui","Plus de 3 ans","Moins d'une heure de toute votre vie","Pas d'interaction hormis le mouvement de la tête","Visionnage de vidéos 3D (évenement sportif, clip musical, court métrage, etc)","3","J'ai étudié la biologie en niveau licence","J'ai occasionnellement utilisé un microscope durant de mon parcours scolaire","Moins de 5h par jour","Oui","Moins de 5h dans votre vie","Un logiciel de CAO (Fusion 360, AutoCAD, FreeCAD, SketchUp, etc)"
"2022/04/29 4:47:04 PM GMT+2","2","Non","Non","Non","","","","","2","J'ai étudié la biologie jusqu'au lycée","J'ai occasionnellement utilisé un microscope durant de mon parcours scolaire","Moins de 6h par semaine","Non","",""
"2022/05/01 4:08:46 PM GMT+2","24","Non","Non","Oui","Plus de 3 ans","Moins d'une heure de toute votre vie","Pas d'interaction hormis le mouvement de la tête","Visionnage de vidéos 3D (évenement sportif, clip musical, court métrage, etc)","3","J'ai étudié la biologie en niveau licence","J'ai occasionnellement utilisé un microscope durant de mon parcours scolaire","Moins de 5h par jour","Oui","Moins de 5h dans votre vie","Un logiciel de CAO (Fusion 360, AutoCAD, FreeCAD, SketchUp, etc)"
"2022/05/02 2:58:05 PM GMT+2","25","Non","Non","Oui","Moins d'une semaine","Moins de 6h par semaine","Interactions à l'aide de manette pouvant suivre la position de vos mains","Joué à un jeu vidéo;Sculpture ou peinture 3D (Tilt brush, Oculus Medium, etc);Communication avec d'autres utilisateurs dans un environement virtuel;Visualisation de données (plan architecturaux, imagerie médicale, etc);Visionnage de vidéos 3D (évenement sportif, clip musical, court métrage, etc)","5","J'ai étudié la biologie jusqu'au collège","J'ai occasionnellement utilisé un microscope durant de mon parcours scolaire","Moins de 5h par jour","Oui","Moins de 6h par semaine","un logiciel pour visualiser des formes 3d (3d Viewer de Microsoft, Sketchfab, etc);Un moteur de jeu (Unity, Unreal Engine, Godot, etc);Un logicial pour visualiser des données 3d volumétriques (3D Slicer, un visionneur DICOM, etc);Un logiciel de sculpture 3d (Zbrush, blender, Mudbox, etc);Un logiciel de rendu 3d (blender, 3ds max, Maya, Cinema4d, etc)"